Group,Subject,Frequency (Hz),Coherence
Females PRE,M513,2.9547,0.5716
Females PRE,M513,3.0048,0.4676
Females PRE,M513,3.0548,0.2336
Females PRE,M513,3.1049,0.1844
Females PRE,M513,3.155,0.1865
Females PRE,M513,3.2051,0.274
Females PRE,M513,3.2552,0.0533
Females PRE,M513,3.3052,0.0835
Females PRE,M513,3.3553,0.2015
Females PRE,M513,3.4054,0.2318
Females PRE,M513,3.4555,0.3139
Females PRE,M513,3.5056,0.7714
Females PRE,M513,3.5556,0.1579
Females PRE,M513,3.6057,0.0477
Females PRE,M513,3.6558,0.1077
Females PRE,M513,3.7059,0.0738
Females PRE,M513,3.756,0.1132
Females PRE,M513,3.806,0.6023
Females PRE,M513,3.8561,0.1083
Females PRE,M513,3.9062,0.2627
Females PRE,M513,3.9563,0.3585
Females PRE,M513,4.0064,0.1079
Females PRE,M513,4.0564,0.1711
Females PRE,M513,4.1065,0.1153
Females PRE,M513,4.1566,0.1766
Females PRE,M513,4.2067,0.2018
Females PRE,M513,4.2567,0.0428
Females PRE,M513,4.3068,0.0418
Females PRE,M513,4.3569,0.1648
Females PRE,M513,4.407,0.6051
Females PRE,M513,4.4571,0.2282
Females PRE,M513,4.5071,0.2547
Females PRE,M513,4.5572,0.5597
Females PRE,M513,4.6073,0.0951
Females PRE,M513,4.6574,0.0073
Females PRE,M513,4.7075,0.164
Females PRE,M513,4.7575,0.3167
Females PRE,M513,4.8076,0.6456
Females PRE,M513,4.8577,0.4189
Females PRE,M513,4.9078,0.1239
Females PRE,M513,4.9579,0.2258
Females PRE,M520,0.0501,0.0199
Females PRE,M520,0.1002,0.3161
Females PRE,M520,0.1502,0.5871
Females PRE,M520,0.2003,0.3028
Females PRE,M520,0.2504,0.1256
Females PRE,M520,0.3005,0.1159
Females PRE,M520,0.3506,0.0634
Females PRE,M520,0.4006,0.0181
Females PRE,M520,0.4507,0.1264
Females PRE,M520,0.5008,0.1556
Females PRE,M520,0.5509,0.2821
Females PRE,M520,0.601,0.5494
Females PRE,M520,0.651,0.3553
Females PRE,M520,0.7011,0.1522
Females PRE,M520,0.7512,0.0668
Females PRE,M520,0.8013,0.1095
Females PRE,M520,0.8513,0.1119
Females PRE,M520,0.9014,0.1526
Females PRE,M520,0.9515,0.3077
Females PRE,M520,1.0016,0.0475
Females PRE,M520,1.0517,0.1644
Females PRE,M520,1.1017,0.0208
Females PRE,M520,1.1518,0.1669
Females PRE,M520,1.2019,0.0158
Females PRE,M520,1.252,0.1083
Females PRE,M520,1.3021,0.2577
Females PRE,M520,1.3521,0.0571
Females PRE,M520,1.4022,0.2026
Females PRE,M520,1.4523,0.2134
Females PRE,M520,1.5024,0.2113
Females PRE,M520,1.5525,0.1466
Females PRE,M520,1.6025,0.067
Females PRE,M520,1.6526,0.1287
Females PRE,M520,1.7027,0.2476
Females PRE,M520,1.7528,0.2133
Females PRE,M520,1.8029,0.065
Females PRE,M520,1.8529,0.3591
Females PRE,M520,1.903,0.2468
Females PRE,M520,1.9531,0.0725
Females PRE,M520,2.0032,0.2966
Females PRE,M520,2.0533,0.253
Females PRE,M520,2.1033,0.343
Females PRE,M520,2.1534,0.1513
Females PRE,M520,2.2035,0.0279
Females PRE,M520,2.2536,0.1942
Females PRE,M520,2.3037,0.2793
Females PRE,M520,2.3537,0.0526
Females PRE,M520,2.4038,0.4055
Females PRE,M520,2.4539,0.2801
Females PRE,M520,2.504,0.4121
Females PRE,M520,2.554,0.1746
Females PRE,M520,2.6041,0.2523
Females PRE,M520,2.6542,0.2789
Females PRE,M520,2.7043,0.0371
Females PRE,M520,2.7544,0.1698
Females PRE,M520,2.8044,0.1092
Females PRE,M520,2.8545,0.2221
Females PRE,M520,2.9046,0.1593
Females PRE,M520,2.9547,0.2535
Females PRE,M520,3.0048,0.4963
Females PRE,M520,3.0548,0.2837
Females PRE,M520,3.1049,0.1509
Females PRE,M520,3.155,0.4502
Females PRE,M520,3.2051,0.0805
Females PRE,M520,3.2552,0.074
Females PRE,M520,3.3052,0.3557
Females PRE,M520,3.3553,0.1671
Females PRE,M520,3.4054,0.3223
Females PRE,M520,3.4555,0.0552
Females PRE,M520,3.5056,0.2398
Females PRE,M520,3.5556,0.433
Females PRE,M520,3.6057,0.4398
Females PRE,M520,3.6558,0.111
Females PRE,M520,3.7059,0.036
Females PRE,M520,3.756,0.0772
Females PRE,M520,3.806,0.0979
Females PRE,M520,3.8561,0.2574
Females PRE,M520,3.9062,0.5022
Females PRE,M520,3.9563,0.5287
Females PRE,M520,4.0064,0.0586
Females PRE,M520,4.0564,0.0391
Females PRE,M520,4.1065,0.0879
Females PRE,M520,4.1566,0.1958
Females PRE,M520,4.2067,0.041
Females PRE,M520,4.2567,0.2416
Females PRE,M520,4.3068,0.0528
Females PRE,M520,4.3569,0.1609
Females PRE,M520,4.407,0.0255
Females PRE,M520,4.4571,0.3678
Females PRE,M520,4.5071,0.2812
Females PRE,M520,4.5572,0.2855
Females PRE,M520,4.6073,0.2193
Females PRE,M520,4.6574,0.1692
Females PRE,M520,4.7075,0.068
Females PRE,M520,4.7575,0.2699
Females PRE,M520,4.8076,0.3282
Females PRE,M520,4.8577,0.282
Females PRE,M520,4.9078,0.16
Females PRE,M520,4.9579,0.0827
Females POST,M509,0.0501,0.3721
Females POST,M509,0.1002,0.1535
Females POST,M509,0.1502,0.2261
Females POST,M509,0.2003,0.0016
Females POST,M509,0.2504,0.0559
Females POST,M509,0.3005,0.15
Females POST,M509,0.3506,0.2232
Females POST,M509,0.4006,0.5436
Females POST,M509,0.4507,0.4553
Females POST,M509,0.5008,0.4382
Females POST,M509,0.5509,0.4266
Females POST,M509,0.601,0.7066
Females POST,M509,0.651,0.3021
Females POST,M509,0.7011,0.548
Females POST,M509,0.7512,0.5152
Females POST,M509,0.8013,0.1488
Females POST,M509,0.8513,0.4142
Females POST,M509,0.9014,0.2559
Females POST,M509,0.9515,0.1752
Females POST,M509,1.0016,0.6303
Females POST,M509,1.0517,0.3169
Females POST,M509,1.1017,0.0438
Females POST,M509,1.1518,0.7481
Females POST,M509,1.2019,0.5076
Females POST,M509,1.252,0.2536
Females POST,M509,1.3021,0.0926
Females POST,M509,1.3521,0.0399
Females POST,M509,1.4022,0.4839
Females POST,M509,1.4523,0.2383
Females POST,M509,1.5024,0.5984
Females POST,M509,1.5525,0.0284
Females POST,M509,1.6025,0.735
Females POST,M509,1.6526,0.1766
Females POST,M509,1.7027,0.0461
Females POST,M509,1.7528,0.0514
Females POST,M509,1.8029,0.0648
Females POST,M509,1.8529,0.02
Females POST,M509,1.903,0.0133
Females POST,M509,1.9531,0.1201
Females POST,M509,2.0032,0.3487
Females POST,M509,2.0533,0.5525
Females POST,M509,2.1033,0.1437
Females POST,M509,2.1534,0.0983
Females POST,M509,2.2035,0.0083
Females POST,M509,2.2536,0.0757
Females POST,M509,2.3037,0.1278
Females POST,M509,2.3537,0.0445
Females POST,M509,2.4038,0.2202
Females POST,M509,2.4539,0.01
Females POST,M509,2.504,0.0845
Females POST,M509,2.554,0.1252
Females POST,M509,2.6041,0.268
Females POST,M509,2.6542,0.6317
Females POST,M509,2.7043,0.3732
Females POST,M509,2.7544,0.1247
Females POST,M509,2.8044,0.3271
Females POST,M509,2.8545,0.4962
Females POST,M509,2.9046,0.0241
Females POST,M509,2.9547,0.3205
Females POST,M509,3.0048,0.1505
Females POST,M509,3.0548,0.1245
Females POST,M509,3.1049,0.0428
Females POST,M509,3.155,0.152
Females POST,M509,3.2051,0.0977
Females POST,M509,3.2552,0.1868
Females POST,M509,3.3052,0.4999
Females POST,M509,3.3553,0.1522
Females POST,M509,3.4054,0.1629
Females POST,M509,3.4555,0.3328
Females POST,M509,3.5056,0.2138
Females POST,M509,3.5556,0.1595
Females POST,M509,3.6057,0.0107
Females POST,M509,3.6558,0.2081
Females POST,M509,3.7059,0.0617
Females POST,M509,3.756,0.0679
Females POST,M509,3.806,0.0081
Females POST,M509,3.8561,0.4621
Females POST,M509,3.9062,0.3026
Females POST,M509,3.9563,0.4727
Females POST,M509,4.0064,0.3248
Females POST,M509,4.0564,0.1935
Females POST,M509,4.1065,0.0568
Females POST,M509,4.1566,0.1563
Females POST,M509,4.2067,0.0204
Females POST,M509,4.2567,0.0053
Females POST,M509,4.3068,0.3958
Females POST,M509,4.3569,0.407
Females POST,M509,4.407,0.4504
Females POST,M509,4.4571,0.3283
Females POST,M509,4.5071,0.053
Females POST,M509,4.5572,0.1379
Females POST,M509,4.6073,0.4114
Females POST,M509,4.6574,0.3597
Females POST,M509,4.7075,0.1484
Females POST,M509,4.7575,0.0136
Females POST,M509,4.8076,0.1244
Females POST,M509,4.8577,0.2315
Females POST,M509,4.9078,0.3908
Females POST,M509,4.9579,0.1962
Females POST,M511,0.0501,0.7732
Females POST,M511,0.1002,0.7186
Females POST,M511,0.1502,0.5436
Females POST,M511,0.2003,0.7624
Females POST,M511,0.2504,0.8194
Females POST,M511,0.3005,0.4297
Females POST,M511,0.3506,0.4379
Females POST,M511,0.4006,0.2551
Females POST,M511,0.4507,0.2551
Females POST,M511,0.5008,0.3369
Females POST,M511,0.5509,0.7639
Females POST,M511,0.601,0.5269
Females POST,M511,0.651,0.394
Females POST,M511,0.7011,0.7852
Females POST,M511,0.7512,0.4445
Females POST,M511,0.8013,0.3703
Females POST,M511,0.8513,0.2395
Females POST,M511,0.9014,0.5984
Females POST,M511,0.9515,0.1435
Females POST,M511,1.0016,0.1267
Females POST,M511,1.0517,0.1248
Females POST,M511,1.1017,0.1906
Females POST,M511,1.1518,0.3403
Females POST,M511,1.2019,0.006
Females POST,M511,1.252,0.4056
Females POST,M511,1.3021,0.5091
Females POST,M511,1.3521,0.4366
Females POST,M511,1.4022,0.1715
Females POST,M511,1.4523,0.0725
Females POST,M511,1.5024,0.129
Females POST,M511,1.5525,0.205
Females POST,M511,1.6025,0.1866
Females POST,M511,1.6526,0.3028
Females POST,M511,1.7027,0.0821
Females POST,M511,1.7528,0.1238
Females POST,M511,1.8029,0.202
Females POST,M511,1.8529,0.4243
Females POST,M511,1.903,0.3328
Females POST,M511,1.9531,0.261
Females POST,M511,2.0032,0.2029
Females POST,M511,2.0533,0.3322
Females POST,M511,2.1033,0.034
Females POST,M511,2.1534,0.0667
Females POST,M511,2.2035,0.1883
Females POST,M511,2.2536,0.1497
Females POST,M511,2.3037,0.135
Females POST,M511,2.3537,0.0086
Females POST,M511,2.4038,0.2383
Females POST,M511,2.4539,0.0793
Females POST,M511,2.504,0.2288
Females POST,M511,2.554,0.3579
Females POST,M511,2.6041,0.3914
Females POST,M511,2.6542,0.2111
Females POST,M511,2.7043,0.0484
Females POST,M511,2.7544,0.0812
Females POST,M511,2.8044,0.4017
Females POST,M511,2.8545,0.0077
Females POST,M511,2.9046,0.0317
Females POST,M511,2.9547,0.1682
Females POST,M511,3.0048,0.0661
Females POST,M511,3.0548,0.5427
Females POST,M511,3.1049,0.2445
Females POST,M511,3.155,0.0051
Females POST,M511,3.2051,0.199
Females POST,M511,3.2552,0.0325
Females POST,M511,3.3052,0.0411
Females POST,M511,3.3553,0.0964
Females POST,M511,3.4054,0.1476
Females POST,M511,3.4555,0.2601
Females POST,M511,3.5056,0.392
Females POST,M511,3.5556,0.0089
Females POST,M511,3.6057,0.1033
Females POST,M511,3.6558,0.0606
Females POST,M511,3.7059,0.0229
Females POST,M511,3.756,0.3733
Females POST,M511,3.806,0.454
Females POST,M511,3.8561,0.2934
Females POST,M511,3.9062,0.051
Females POST,M511,3.9563,0.0346
Females POST,M511,4.0064,0.1174
Females POST,M511,4.0564,0.1887
Females POST,M511,4.1065,0.0376
Females POST,M511,4.1566,0.0427
Females POST,M511,4.2067,0.0742
Females POST,M511,4.2567,0.0597
Females POST,M511,4.3068,0.1609
Females POST,M511,4.3569,0.1795
Females POST,M511,4.407,0.5003
Females POST,M511,4.4571,0.2082
Females POST,M511,4.5071,0.0398
Females POST,M511,4.5572,0.0741
Females POST,M511,4.6073,0.2516
Females POST,M511,4.6574,0.4968
Females POST,M511,4.7075,0.0193
Females POST,M511,4.7575,0.0663
Females POST,M511,4.8076,0.0729
Females POST,M511,4.8577,0.0541
Females POST,M511,4.9078,0.0659
Females POST,M511,4.9579,0.1411
Females POST,M512,0.0501,0.4803
Females POST,M512,0.1002,0.2906
Females POST,M512,0.1502,0.2604
Females POST,M512,0.2003,0.1181
Females POST,M512,0.2504,0.6989
Females POST,M512,0.3005,0.7669
Females POST,M512,0.3506,0.8417
Females POST,M512,0.4006,0.1964
Females POST,M512,0.4507,0.3012
Females POST,M512,0.5008,0.8292
Females POST,M512,0.5509,0.3786
Females POST,M512,0.601,0.2353
Females POST,M512,0.651,0.361
Females POST,M512,0.7011,0.451
Females POST,M512,0.7512,0.2703
Females POST,M512,0.8013,0.3067
Females POST,M512,0.8513,0.6143
Females POST,M512,0.9014,0.6579
Females POST,M512,0.9515,0.686
Females POST,M512,1.0016,0.6299
Females POST,M512,1.0517,0.4137
Females POST,M512,1.1017,0.0429
Females POST,M512,1.1518,0.3196
Females POST,M512,1.2019,0.1457
Females POST,M512,1.252,0.1484
Females POST,M512,1.3021,0.1508
Females POST,M512,1.3521,0.0527
Females POST,M512,1.4022,0.3553
Females POST,M512,1.4523,0.5819
Females POST,M512,1.5024,0.0529
Females POST,M512,1.5525,0.3455
Females POST,M512,1.6025,0.35
Females POST,M512,1.6526,0.284
Females POST,M512,1.7027,0.0984
Females POST,M512,1.7528,0.0853
Females POST,M512,1.8029,0.0464
Females POST,M512,1.8529,0.113
Females POST,M512,1.903,0.1941
Females POST,M512,1.9531,0.0133
Females POST,M512,2.0032,0.1698
Females POST,M512,2.0533,0.0151
Females POST,M512,2.1033,0.0248
Females POST,M512,2.1534,0.1412
Females POST,M512,2.2035,0.3409
Females POST,M512,2.2536,0.1062
Females POST,M512,2.3037,0.287
Females POST,M512,2.3537,0.102
Females POST,M512,2.4038,0.1385
Females POST,M512,2.4539,0.0585
Females POST,M512,2.504,0.1075
Females POST,M512,2.554,0.2795
Females POST,M512,2.6041,0.1689
Females POST,M512,2.6542,0.0818
Females POST,M512,2.7043,0.0252
Females POST,M512,2.7544,0.0548
Females POST,M512,2.8044,0.0408
Females POST,M512,2.8545,0.4063
Females POST,M512,2.9046,0.3623
Females POST,M512,2.9547,0.0218
Females POST,M512,3.0048,0.3671
Females POST,M512,3.0548,0.3947
Females POST,M512,3.1049,0.318
Females POST,M512,3.155,0.0548
Females POST,M512,3.2051,0.1444
Females POST,M512,3.2552,0.1897
Females POST,M512,3.3052,0.3411
Females POST,M512,3.3553,0.0951
Females POST,M512,3.4054,0.6705
Females POST,M512,3.4555,0.6924
Females POST,M512,3.5056,0.2428
Females POST,M512,3.5556,0.4545
Females POST,M512,3.6057,0.1147
Females POST,M512,3.6558,0.1753
Females POST,M512,3.7059,0.1517
Females POST,M512,3.756,0.0731
Females POST,M512,3.806,0.4128
Females POST,M512,3.8561,0.3814
Females POST,M512,3.9062,0.1335
Females POST,M512,3.9563,0.1081
Females POST,M512,4.0064,0.1325
Females POST,M512,4.0564,0.31
Females POST,M512,4.1065,0.1681
Females POST,M512,4.1566,0.2669
Females POST,M512,4.2067,0.1792
Females POST,M512,4.2567,0.0044
Females POST,M512,4.3068,0.2951
Females POST,M512,4.3569,0.0636
Females POST,M512,4.407,0.0192
Females POST,M512,4.4571,0.0374
Females POST,M512,4.5071,0.2154
Females POST,M512,4.5572,0.2296
Females POST,M512,4.6073,0.176
Females POST,M512,4.6574,0.0936
Females POST,M512,4.7075,0.0886
Females POST,M512,4.7575,0.3882
Females POST,M512,4.8076,0.2778
Females POST,M512,4.8577,0.0809
Females POST,M512,4.9078,0.1966
Females POST,M512,4.9579,0.1675
Females POST,M513,0.0501,0.0096
Females POST,M513,0.1002,0.2472
Females POST,M513,0.1502,0.2216
Females POST,M513,0.2003,0.1119
Females POST,M513,0.2504,0.4804
Females POST,M513,0.3005,0.5484
Females POST,M513,0.3506,0.3907
Females POST,M513,0.4006,0.1356
Females POST,M513,0.4507,0.29
Females POST,M513,0.5008,0.5889
Females POST,M513,0.5509,0.1924
Females POST,M513,0.601,0.1563
Females POST,M513,0.651,0.4434
Females POST,M513,0.7011,0.5237
Females POST,M513,0.7512,0.1899
Females POST,M513,0.8013,0.298
Females POST,M513,0.8513,0.4424
Females POST,M513,0.9014,0.3039
Females POST,M513,0.9515,0.0858
Females POST,M513,1.0016,0.0335
Females POST,M513,1.0517,0.3043
Females POST,M513,1.1017,0.357
Females POST,M513,1.1518,0.1632
Females POST,M513,1.2019,0.4706
Females POST,M513,1.252,0.6012
Females POST,M513,1.3021,0.365
Females POST,M513,1.3521,0.0857
Females POST,M513,1.4022,0.1739
Females POST,M513,1.4523,0.4306
Females POST,M513,1.5024,0.6041
Females POST,M513,1.5525,0.2074
Females POST,M513,1.6025,0.0885
Females POST,M513,1.6526,0.1603
Females POST,M513,1.7027,0.2264
Females POST,M513,1.7528,0.0188
Females POST,M513,1.8029,0.0319
Females POST,M513,1.8529,0.2191
Females POST,M513,1.903,0.6509
Females POST,M513,1.9531,0.5257
Females POST,M513,2.0032,0.7694
Females POST,M513,2.0533,0.2921
Females POST,M513,2.1033,0.0618
Females POST,M513,2.1534,0.0558
Females POST,M513,2.2035,0.2642
Females POST,M513,2.2536,0.0372
Females POST,M513,2.3037,0.1197
Females POST,M513,2.3537,0.6284
Females POST,M513,2.4038,0.1677
Females POST,M513,2.4539,0.2554
Females POST,M513,2.504,0.1747
Females POST,M513,2.554,0.5741
Females POST,M513,2.6041,0.2775
Females POST,M513,2.6542,0.3
Females POST,M513,2.7043,0.1927
Females POST,M513,2.7544,0.0089
Females POST,M513,2.8044,0.0729
Females POST,M513,2.8545,0.0527
Females POST,M513,2.9046,0.3634
Females POST,M513,2.9547,0.6082
Females POST,M513,3.0048,0.6219
Females POST,M513,3.0548,0.1333
Females POST,M513,3.1049,0.1813
Females POST,M513,3.155,0.1211
Females POST,M513,3.2051,0.0029
Females POST,M513,3.2552,0.0478
Females POST,M513,3.3052,0.1958
Females POST,M513,3.3553,0.2739
Females POST,M513,3.4054,0.3879
Females POST,M513,3.4555,0.1087
Females POST,M513,3.5056,0.1521
Females POST,M513,3.5556,0.1337
Females POST,M513,3.6057,0.1496
Females POST,M513,3.6558,0.1563
Females POST,M513,3.7059,0.2235
Females POST,M513,3.756,0.0781
Females POST,M513,3.806,0.3199
Females POST,M513,3.8561,0.1802
Females POST,M513,3.9062,0.0656
Females POST,M513,3.9563,0.196
Females POST,M513,4.0064,0.0106
Females POST,M513,4.0564,0.1556
Females POST,M513,4.1065,0.7996
Females POST,M513,4.1566,0.3497
Females POST,M513,4.2067,0.4717
Females POST,M513,4.2567,0.4331
Females POST,M513,4.3068,0.4668
Females POST,M513,4.3569,0.1872
Females POST,M513,4.407,0.0634
Females POST,M513,4.4571,0.0869
Females POST,M513,4.5071,0.0193
Females POST,M513,4.5572,0.0059
Females POST,M513,4.6073,0.0792
Females POST,M513,4.6574,0.2842
Females POST,M513,4.7075,0.041
Females POST,M513,4.7575,0.4439
Females POST,M513,4.8076,0.1797
Females POST,M513,4.8577,0.6074
Females POST,M513,4.9078,0.6334
Females POST,M513,4.9579,0.6706
Females POST,M520,0.0501,0.2184
Females POST,M520,0.1002,0.1798
Females POST,M520,0.1502,0.264
Females POST,M520,0.2003,0.0282
Females POST,M520,0.2504,0.0674
Females POST,M520,0.3005,0.4152
Females POST,M520,0.3506,0.0413
Females POST,M520,0.4006,0.2202
Females POST,M520,0.4507,0.1612
Females POST,M520,0.5008,0.8164
Females POST,M520,0.5509,0.2654
Females POST,M520,0.601,0.1408
Females POST,M520,0.651,0.4285
Females POST,M520,0.7011,0.1644
Females POST,M520,0.7512,0.3064
Females POST,M520,0.8013,0.0413
Females POST,M520,0.8513,0.0895
Females POST,M520,0.9014,0.351
Females POST,M520,0.9515,0.1974
Females POST,M520,1.0016,0.5936
Females POST,M520,1.0517,0.2812
Females POST,M520,1.1017,0.0372
Females POST,M520,1.1518,0.1154
Females POST,M520,1.2019,0.3314
Females POST,M520,1.252,0.1622
Females POST,M520,1.3021,0.4039
Females POST,M520,1.3521,0.4073
Females POST,M520,1.4022,0.254
Females POST,M520,1.4523,0.057
Females POST,M520,1.5024,0.0446
Females POST,M520,1.5525,0.0825
Females POST,M520,1.6025,0.0543
Females POST,M520,1.6526,0.0607
Females POST,M520,1.7027,0.1047
Females POST,M520,1.7528,0.4357
Females POST,M520,1.8029,0.2318
Females POST,M520,1.8529,0.0504
Females POST,M520,1.903,0.0184
Females POST,M520,1.9531,0.047
Females POST,M520,2.0032,0.0886
Females POST,M520,2.0533,0.1972
Females POST,M520,2.1033,0.1292
Females POST,M520,2.1534,0.199
Females POST,M520,2.2035,0.34
Females POST,M520,2.2536,0.3102
Females POST,M520,2.3037,0.223
Females POST,M520,2.3537,0.3613
Females POST,M520,2.4038,0.4713
Females POST,M520,2.4539,0.1383
Females POST,M520,2.504,0.012
Females POST,M520,2.554,0.0763
Females POST,M520,2.6041,0.1607
Females POST,M520,2.6542,0.3695
Females POST,M520,2.7043,0.1336
Females POST,M520,2.7544,0.3811
Females POST,M520,2.8044,0.4354
Females POST,M520,2.8545,0.0698
Females POST,M520,2.9046,0.4601
Females POST,M520,2.9547,0.4226
Females POST,M520,3.0048,0.0962
Females POST,M520,3.0548,0.4049
Females POST,M520,3.1049,0.0589
Females POST,M520,3.155,0.2628
Females POST,M520,3.2051,0.3203
Females POST,M520,3.2552,0.5163
Females POST,M520,3.3052,0.3927
Females POST,M520,3.3553,0.3947
Females POST,M520,3.4054,0.1344
Females POST,M520,3.4555,0.09
Females POST,M520,3.5056,0.054
Females POST,M520,3.5556,0.0031
Females POST,M520,3.6057,0.0842
Females POST,M520,3.6558,0.2649
Females POST,M520,3.7059,0.0603
Females POST,M520,3.756,0.0215
Females POST,M520,3.806,0.1781
Females POST,M520,3.8561,0.8238
Females POST,M520,3.9062,0.6544
Females POST,M520,3.9563,0.4987
Females POST,M520,4.0064,0.2164
Females POST,M520,4.0564,0.4219
Females POST,M520,4.1065,0.2773
Females POST,M520,4.1566,0.0707
Females POST,M520,4.2067,0.0694
Females POST,M520,4.2567,0.0582
Females POST,M520,4.3068,0.1147
Females POST,M520,4.3569,0.1784
Females POST,M520,4.407,0.5933
Females POST,M520,4.4571,0.6045
Females POST,M520,4.5071,0.0278
Females POST,M520,4.5572,0.1417
Females POST,M520,4.6073,0.1334
Females POST,M520,4.6574,0.3035
Females POST,M520,4.7075,0.0967
Females POST,M520,4.7575,0.2105
Females POST,M520,4.8076,0.0131
Females POST,M520,4.8577,0.2912
Females POST,M520,4.9078,0.5922
Females POST,M520,4.9579,0.6546
